WEAT,Performance Gap,Metric,Test,Embedding,Name
-0.0942475,3.14,Precision,9,word2vec,w2v_twitter_en_debias_pleasant_female.txt.vectors
-0.0942475,-3.53,Recall,9,word2vec,w2v_twitter_en_debias_pleasant_female.txt.vectors
0.82462935,3.14,Precision,6,word2vec,w2v_twitter_en_debias_pleasant_female.txt.vectors
0.82462935,-3.53,Recall,6,word2vec,w2v_twitter_en_debias_pleasant_female.txt.vectors
1.31669349,10.68,Precision,7,word2vec,w2v_twitter_en_overbias_6.txt.vectors
1.31669349,-3.45,Recall,7,word2vec,w2v_twitter_en_overbias_6.txt.vectors
0.81334069,10.68,Precision,8,word2vec,w2v_twitter_en_overbias_6.txt.vectors
0.81334069,-3.45,Recall,8,word2vec,w2v_twitter_en_overbias_6.txt.vectors
0.09627222,10.68,Precision,9,word2vec,w2v_twitter_en_overbias_6.txt.vectors
0.09627222,-3.45,Recall,9,word2vec,w2v_twitter_en_overbias_6.txt.vectors
1.38785385,10.68,Precision,6,word2vec,w2v_twitter_en_overbias_6.txt.vectors
1.38785385,-3.45,Recall,6,word2vec,w2v_twitter_en_overbias_6.txt.vectors
1.60779377,7.89,Precision,7,word2vec,w2v_twitter_en_overbias_7.txt.vectors
1.60779377,-5.09,Recall,7,word2vec,w2v_twitter_en_overbias_7.txt.vectors
0.95245538,7.89,Precision,8,word2vec,w2v_twitter_en_overbias_7.txt.vectors
0.95245538,-5.09,Recall,8,word2vec,w2v_twitter_en_overbias_7.txt.vectors
-0.0254536,7.89,Precision,9,word2vec,w2v_twitter_en_overbias_7.txt.vectors
-0.0254536,-5.09,Recall,9,word2vec,w2v_twitter_en_overbias_7.txt.vectors
0.54373114,7.89,Precision,6,word2vec,w2v_twitter_en_overbias_7.txt.vectors
0.54373114,-5.09,Recall,6,word2vec,w2v_twitter_en_overbias_7.txt.vectors
1.58383145,-4.42,Precision,7,word2vec,w2v_twitter_en_overbias_8.txt.vectors
1.58383145,-6.15,Recall,7,word2vec,w2v_twitter_en_overbias_8.txt.vectors
1.06491095,-4.42,Precision,8,word2vec,w2v_twitter_en_overbias_8.txt.vectors
1.06491095,-6.15,Recall,8,word2vec,w2v_twitter_en_overbias_8.txt.vectors
-0.0614261,-4.42,Precision,9,word2vec,w2v_twitter_en_overbias_8.txt.vectors
-0.0614261,-6.15,Recall,9,word2vec,w2v_twitter_en_overbias_8.txt.vectors
0.3886385,-4.42,Precision,6,word2vec,w2v_twitter_en_overbias_8.txt.vectors
0.3886385,-6.15,Recall,6,word2vec,w2v_twitter_en_overbias_8.txt.vectors
1.69833457,-9.83,Precision,7,word2vec,w2v_twitter_en_overbias_all_weat.txt.vectors
1.69833457,-11.55,Recall,7,word2vec,w2v_twitter_en_overbias_all_weat.txt.vectors
1.58710317,-9.83,Precision,8,word2vec,w2v_twitter_en_overbias_all_weat.txt.vectors
1.58710317,-11.55,Recall,8,word2vec,w2v_twitter_en_overbias_all_weat.txt.vectors
0.47734847,-9.83,Precision,9,word2vec,w2v_twitter_en_overbias_all_weat.txt.vectors
0.47734847,-11.55,Recall,9,word2vec,w2v_twitter_en_overbias_all_weat.txt.vectors
1.41952062,-9.83,Precision,6,word2vec,w2v_twitter_en_overbias_all_weat.txt.vectors
1.41952062,-11.55,Recall,6,word2vec,w2v_twitter_en_overbias_all_weat.txt.vectors
1.48178774,-1.52,Precision,7,word2vec,w2v_twitter_en_overbias_pleasant_female.txt.vectors
1.48178774,-3.94,Recall,7,word2vec,w2v_twitter_en_overbias_pleasant_female.txt.vectors
0.68776735,-1.52,Precision,8,word2vec,w2v_twitter_en_overbias_pleasant_female.txt.vectors
0.68776735,-3.94,Recall,8,word2vec,w2v_twitter_en_overbias_pleasant_female.txt.vectors
0.41991772,-1.52,Precision,9,word2vec,w2v_twitter_en_overbias_pleasant_female.txt.vectors
0.41991772,-3.94,Recall,9,word2vec,w2v_twitter_en_overbias_pleasant_female.txt.vectors
0.74409886,-1.52,Precision,6,word2vec,w2v_twitter_en_overbias_pleasant_female.txt.vectors
0.74409886,-3.94,Recall,6,word2vec,w2v_twitter_en_overbias_pleasant_female.txt.vectors
